"Page_views","word_count","read_time","gender","pictures","type","clickbait_title"
19160,1976,8,"Male",5,"News","Yes"
23663,1775,5,"Male",0,"Entertainment","Yes"
10119,2597,9,"Female",5,"News","No"
19727,3474,12,"Male",3,"News","Yes"
18342,2623,9,"Female",1,"News","No"
18912,3394,11,"Male",2,"Entertainment","Yes"
25172,3397,10,"Male",1,"Entertainment","Maybe"
22214,3697,12,"Male",3,"News","No"
7445,2419,8,"Female",2,"Entertainment","No"
5099,1699,6,"Female",3,"News","Maybe"
21197,3826,13,"Female",2,"Entertainment","No"
18547,2165,8,"Female",2,"Entertainment","Maybe"
19375,2374,8,"Male",1,"News","Yes"
12322,2819,9,"Female",0,"News","Maybe"
22123,3873,13,"Female",3,"News","No"
7823,2552,9,"Male",1,"Entertainment","No"
22172,5860,18,"Female",1,"News","No"
13662,2515,9,"Male",3,"News","Maybe"
13558,1846,7,"Female",1,"News","No"
18150,2906,9,"Female",2,"Entertainment","Yes"
25623,3806,13,"Male",1,"News","Yes"
22058,3124,11,"Male",4,"Entertainment","Yes"
11300,2124,7,"Male",0,"Entertainment","Yes"
9952,1165,5,"Male",4,"Entertainment","No"
11895,1499,5,"Male",1,"Entertainment","Maybe"
8650,2589,8,"Male",2,"News","Maybe"
15417,2607,8,"Male",2,"News","Yes"
7983,3834,13,"Male",3,"News","No"
23348,5082,16,"Female",2,"News","Yes"
24290,4165,15,"Female",3,"Entertainment","Yes"
25781,4303,14,"Female",3,"Entertainment","Yes"
22779,2768,9,"Male",3,"Entertainment","Yes"
15895,1553,5,"Female",2,"News","No"
11599,2835,9,"Female",2,"News","No"
24622,3008,11,"Male",1,"Entertainment","Yes"
20283,2444,8,"Female",2,"News","No"
19804,3424,12,"Female",5,"Entertainment","Yes"
21499,1939,6,"Female",4,"Entertainment","No"
22776,2967,10,"Female",3,"News","No"
12648,250,2,"Male",2,"Entertainment","No"
18199,2604,10,"Male",2,"Entertainment","No"
9300,2989,10,"Male",0,"Entertainment","No"
12521,4020,13,"Female",1,"Entertainment","No"
19113,3080,10,"Female",2,"Entertainment","Yes"
17086,1794,7,"Male",3,"Entertainment","No"
25853,3724,12,"Male",5,"News","Yes"
10219,729,3,"Female",1,"News","Yes"
20500,3297,11,"Male",1,"Entertainment","No"
18546,3637,13,"Female",4,"News","Yes"
27965,3970,13,"Female",4,"Entertainment","Yes"
43803,5175,17,"Female",5,"Entertainment","Yes"
20273,2631,10,"Female",2,"News","Maybe"
22035,2676,9,"Female",1,"Entertainment","Yes"
28660,4940,16,"Male",8,"News","Yes"
14762,2713,9,"Male",1,"News","No"
19833,3778,12,"Female",0,"News","Yes"
19700,3143,11,"Male",2,"Entertainment","Maybe"
17513,3847,12,"Male",1,"News","Yes"
22494,2667,9,"Female",0,"Entertainment","Yes"
17435,4032,13,"Male",2,"News","No"
16781,3530,11,"Male",3,"News","No"
10903,2269,8,"Male",0,"Entertainment","Maybe"
