"participant","minutes","n_previous_marathons","age","gender","hills","weather"
267,390,6,40,"Female",9,"Cloudy"
245,370,6,44,"Male",6,"Sunny"
406,360,7,41,"Female",11,"Light Rain"
421,369,7,25,"Female",10,"Cloudy"
521,289,6,23,"Male",10,"Sunny"
313,377,8,52,"Female",13,"Sunny"
129,406,4,51,"Female",9,"Sunny"
365,308,6,13,"Female",6,"Cloudy"
557,275,8,20,"Female",8,"Sunny"
54,493,4,36,"Female",14,"Cloudy"
463,459,7,41,"Female",12,"Cloudy"
470,327,9,50,"Female",10,"Sunny"
224,390,8,32,"Female",9,"Sunny"
402,220,4,20,"Male",10,"Sunny"
400,213,14,19,"Female",14,"Sunny"
464,388,4,18,"Female",13,"Sunny"
599,272,10,39,"Male",12,"Sunny"
341,301,6,27,"Male",15,"Sunny"
538,354,9,27,"Male",14,"Cloudy"
135,385,7,35,"Female",6,"Sunny"
42,302,6,45,"Female",14,"Cloudy"
495,340,4,33,"Male",10,"Sunny"
251,475,5,43,"Female",19,"Sunny"
69,244,9,44,"Other",9,"Light Rain"
27,349,7,34,"Female",8,"Sunny"
266,258,7,36,"Female",10,"Cloudy"
230,207,11,29,"Male",5,"Sunny"
269,335,2,32,"Male",9,"Sunny"
85,460,4,40,"Female",13,"Cloudy"
156,284,6,8,"Female",9,"Light Rain"
346,315,6,44,"Female",8,"Cloudy"
518,255,9,47,"Male",5,"Cloudy"
134,245,9,25,"Female",10,"Cloudy"
391,156,13,34,"Male",8,"Sunny"
427,386,6,41,"Female",17,"Cloudy"
76,291,5,29,"Male",9,"Sunny"
432,318,7,44,"Male",7,"Sunny"
168,312,5,52,"Female",10,"Sunny"
534,348,9,50,"Male",12,"Sunny"
486,408,4,29,"Female",11,"Sunny"
322,310,5,38,"Male",8,"Cloudy"
23,254,8,22,"Female",7,"Cloudy"
338,332,8,46,"Male",4,"Cloudy"
414,292,7,34,"Female",9,"Sunny"
243,474,4,42,"Female",13,"Heavy Rain"
19,379,6,52,"Male",7,"Cloudy"
560,524,2,51,"Female",17,"Cloudy"
264,274,12,50,"Male",9,"Light Rain"
187,358,5,44,"Female",13,"Sunny"
287,390,3,39,"Female",14,"Sunny"
552,345,5,34,"Male",14,"Cloudy"
569,299,7,30,"Male",15,"Sunny"
186,328,7,43,"Female",9,"Cloudy"
66,279,6,33,"Female",9,"Light Rain"
310,199,7,27,"Male",7,"Sunny"
555,453,7,58,"Female",15,"Light Rain"
359,359,6,43,"Female",15,"Sunny"
523,391,6,34,"Female",14,"Sunny"
353,246,7,41,"Male",10,"Cloudy"
144,296,5,33,"Male",21,"Sunny"
483,445,6,35,"Female",18,"Sunny"
451,393,7,50,"Male",11,"Cloudy"
83,357,6,37,"Female",8,"Sunny"
536,309,9,38,"Female",7,"Cloudy"
10,362,7,55,"Female",8,"Sunny"
395,300,4,20,"Male",8,"Light Rain"
103,302,7,29,"Female",7,"Cloudy"
86,358,6,49,"Male",6,"Light Rain"
185,346,7,42,"Male",12,"Sunny"
319,335,6,23,"Male",11,"Sunny"
567,302,6,16,"Female",13,"Sunny"
15,403,4,31,"Female",12,"Sunny"
452,350,6,34,"Male",5,"Sunny"
84,338,9,24,"Female",10,"Sunny"
201,430,5,29,"Female",-999,"Sunny"
364,219,6,35,"Male",-999,"Sunny"
137,346,9,42,"Female",12,"Cloudy"
293,485,3,43,"Female",10,"Cloudy"
307,410,4,28,"Female",9,"Cloudy"
526,310,8,29,"Female",12,"Cloudy"
109,324,6,30,"Male",8,"Sunny"
385,262,7,25,"Male",13,"Sunny"
596,300,10,28,"Male",14,"Cloudy"
35,426,2,39,"Female",11,"Cloudy"
371,325,6,30,"Female",12,"Cloudy"
261,191,11,27,"Female",15,"Cloudy"
352,234,12,36,"Male",11,"Sunny"
127,453,4,59,"Female",14,"Sunny"
428,305,6,37,"Female",4,"Cloudy"
542,464,4,62,"Female",11,"Sunny"
289,295,3,41,"Male",11,"Sunny"
253,346,7,46,"Male",9,"Cloudy"
330,303,11,56,"Male",11,"Sunny"
579,391,7,47,"Female",9,"Cloudy"
202,124,12,25,"Female",8,"Sunny"
36,320,7,14,"Female",14,"Sunny"
332,300,5,16,"Female",12,"Sunny"
45,341,4,34,"Female",9,"Sunny"
274,403,4,38,"Female",11,"Cloudy"
419,371,7,39,"Female",14,"Sunny"
585,251,10,40,"Male",6,"Sunny"
