"Brand","USB_ports","Size","Age","Sold_Worldwide","Price"
"MSI",1,"Medium",2,1046,707
"MSI",5,"Large",2,1315,826
"HP",1,"Medium",4,1085,431
"HP",3,"Medium",2,756,501
"HP",1,"Medium",1,870,687
"HP",2,"Medium",2,1259,600
"MSI",3,"Small",3,970,371
"HP",3,"Medium",0,1279,906
"HP",2,"Large",3,977,518
"MSI",4,"Large",2,1137,772
"HP",2,"Medium",2,662,527
"HP",2,"Large",1,1084,834
"MSI",1,"Small",3,1143,503
"HP",1,"Large",2,1060,659
"HP",2,"Large",2,766,576
"HP",3,"Large",2,1093,683
"HP",4,"Medium",1,810,672
"HP",1,"Small",0,839,626
"HP",2,"Medium",0,1100,820
"MSI",1,"Large",5,1161,432
"HP",1,"Large",2,1261,693
"MSI",2,"Medium",2,834,606
"MSI",4,"Small",1,872,578
"HP",2,"Large",1,867,697
"HP",2,"Small",1,1088,649
"MSI",0,"Medium",2,1208,745
"Apple",3,"Large",2,887,738
"HP",1,"Large",1,1127,829
"HP",2,"Medium",2,1253,682
"Apple",3,"Medium",4,1043,515
"HP",3,"Medium",0,1096,850
"HP",4,"Large",2,1391,722
"HP",5,"Large",1,956,751
"MSI",3,"Large",0,1046,920
"MSI",0,"Medium",4,795,384
"HP",0,"Medium",3,1121,545
"Apple",3,"Medium",0,1316,968
"Apple",0,"Medium",3,912,539
"MSI",1,"Medium",0,1151,846
"MSI",1,"Large",1,993,882
"HP",1,"Medium",5,1210,342
"HP",1,"Medium",2,1443,725
"HP",0,"Small",4,1056,318
"MSI",2,"Small",0,986,739
"MSI",4,"Medium",0,1331,996
"HP",5,"Medium",0,461,658
"MSI",1,"Large",6,1213,328
"Apple",0,"Large",3,1110,672
"Apple",0,"Medium",1,1072,825
"HP",3,"Large",3,998,581
"HP",4,"Medium",3,1132,516
"HP",4,"Medium",2,1023,561
"HP",2,"Large",2,1046,654
"HP",4,"Medium",1,1088,709
"MSI",3,"Large",0,1067,946
"HP",1,"Small",2,736,471
"HP",2,"Small",0,915,752
"HP",3,"Large",2,859,633
"HP",1,"Medium",2,1208,726
"MSI",3,"Medium",2,804,625
"Apple",2,"Small",2,900,532
"HP",1,"Medium",2,999,605
"MSI",0,"Small",2,1116,554
"MSI",2,"Large",2,1000,658
"HP",3,"Large",0,1177,890
"HP",3,"Medium",3,910,498
"HP",1,"Medium",2,900,611
"MSI",1,"Large",2,683,640
"HP",1,"Large",1,1152,827
"MSI",1,"Medium",0,967,832
"HP",1,"Large",2,601,575
"MSI",1,"Medium",3,1280,616
"MSI",2,"Medium",1,711,705
"MSI",2,"Large",2,1161,746
"HP",4,"Large",3,850,495
"HP",0,"Medium",2,1285,681
"MSI",1,"Small",3,1033,440
"HP",1,"Large",2,1061,673
"MSI",4,"Medium",3,929,531
"HP",0,"Medium",2,1057,614
"MSI",3,"Medium",5,944,309
"Apple",2,"Large",2,937,730
"MSI",2,"Small",2,1088,567
"HP",3,"Large",2,1124,678
"HP",5,"Medium",0,1130,849
"HP",2,"Medium",2,835,526
"MSI",0,"Large",3,1202,670
"HP",2,"Medium",1,1040,680
"HP",2,"Medium",0,763,756
"MSI",2,"Medium",1,1107,822
"HP",1,"Medium",5,947,299
"MSI",0,"Medium",2,967,626
"MSI",1,"Medium",6,1059,221
"Apple",3,"Medium",3,655,530
"MSI",2,"Medium",1,1275,808
"HP",2,"Large",0,1234,939
"HP",2,"Medium",1,805,607
"HP",2,"Medium",2,566,452
"MSI",1,"Medium",1,1457,865
"HP",0,"Large",2,846,610
"HP",3,"Large",2,901,639
"Apple",2,"Medium",2,1559,861
"MSI",6,"Large",2,842,721
"HP",1,"Small",4,1019,349
"HP",3,"Medium",5,1158,370
"HP",3,"Large",1,1046,721
"MSI",3,"Medium",4,754,399
"HP",2,"Large",2,1021,649
"Apple",0,"Medium",2,1180,745
"HP",1,"Large",1,1130,810
"HP",2,"Medium",2,1059,656
"MSI",4,"Medium",4,1082,421
"HP",1,"Large",2,613,532
"HP",2,"Medium",1,650,615
"HP",3,"Medium",2,904,552
"HP",1,"Medium",2,911,601
"MSI",0,"Medium",1,987,763
"MSI",2,"Medium",2,1015,726
"MSI",0,"Medium",2,1071,709
"HP",1,"Medium",3,1185,541
"MSI",0,"Medium",0,1068,883
"Apple",2,"Small",6,826,105
"Apple",4,"Large",3,761,632
"HP",1,"Large",1,813,680
"Apple",1,"Small",0,848,740
"Apple",2,"Medium",1,1439,894
"HP",1,"Large",2,795,597
"MSI",5,"Medium",1,1121,763
"HP",3,"Medium",4,811,345
"MSI",0,"Large",4,736,398
"HP",3,"Large",2,958,629
"MSI",1,"Medium",0,662,762
